Age,Gender,Social Class,Job,Color,Font,Position
seniors,male,c,education,black,elegant,right
children,female,a,mass communication,purple,elegant,down
youth,female,b,cinema,white,simple,down
seniors,male,a,engineer,black,complex,down
adults,male,b,mechanic,yellow,elegant,down
seniors,female,b,medical,brown,simple,right
adults,male,b,mass communication,purple,complex,up
adults,female,a,engineer,purple,cartoonish,left
youth,female,c,restaurants,brown,cartoonish,left
seniors,female,b,engineer,brown,elegant,up
children,female,a,engineer,orange,simple,left
adults,female,c,sales,brown,cartoonish,left
seniors,female,c,computer science,black,simple,down
youth,female,b,mass communication,pink,complex,right
adults,female,a,sales,pink,elegant,left
children,female,a,police,black,cartoonish,up
seniors,male,a,cinema,green,simple,down
adults,female,c,education,green,complex,right
youth,female,b,engineer,orange,elegant,left
seniors,female,c,computer science,pink,simple,right
adults,male,c,mechanic,black,simple,right
youth,female,b,weather,black,cartoonish,right
adults,female,b,mechanic,orange,simple,down
adults,male,c,restaurants,yellow,complex,up
adults,male,a,computer science,pink,cartoonish,down
children,male,b,computer science,brown,elegant,down
children,male,b,sales,yellow,complex,up
seniors,female,b,engineer,orange,complex,left
youth,female,c,mechanic,green,elegant,up
adults,male,b,medical,brown,complex,right
adults,female,b,restaurants,white,complex,left
seniors,male,b,mass communication,orange,cartoonish,up
adults,female,b,weather,brown,elegant,down
children,male,b,restaurants,green,cartoonish,down
youth,male,a,engineer,green,cartoonish,down
youth,male,c,mechanic,black,simple,left
seniors,male,b,sales,yellow,cartoonish,down
youth,male,a,sales,black,complex,right
adults,female,a,weather,white,simple,down
youth,female,c,sales,brown,elegant,right
youth,female,a,mass communication,red,cartoonish,up
adults,male,c,enviroment,red,complex,right
seniors,female,c,police,orange,complex,left
adults,female,c,police,orange,complex,left
adults,female,a,restaurants,white,cartoonish,left
youth,female,c,engineer,red,complex,up
adults,male,b,mass communication,green,cartoonish,right
youth,male,c,mechanic,black,complex,right
youth,female,b,medical,orange,complex,down
seniors,male,b,weather,black,simple,right
children,male,b,sales,white,simple,down
children,female,c,computer science,yellow,elegant,down
children,male,c,mass communication,purple,cartoonish,right
children,female,a,cinema,yellow,complex,down
adults,male,a,mechanic,green,elegant,up
adults,male,a,medical,purple,elegant,right
adults,male,c,weather,blue,cartoonish,up
seniors,female,a,medical,yellow,cartoonish,down
youth,female,c,computer science,purple,elegant,down
seniors,female,a,enviroment,purple,elegant,down
seniors,female,c,mechanic,white,simple,down
adults,male,a,cinema,black,complex,right
children,male,b,computer science,blue,cartoonish,down
seniors,male,c,police,yellow,complex,right
adults,female,c,mechanic,brown,cartoonish,right
youth,female,c,enviroment,pink,complex,up
seniors,female,c,mass communication,black,elegant,up
adults,male,b,engineer,red,elegant,up
youth,female,c,education,yellow,complex,down
adults,female,a,police,orange,simple,up
youth,male,b,enviroment,red,elegant,down
seniors,male,b,mechanic,black,elegant,up
children,female,b,education,blue,cartoonish,left
seniors,male,b,sales,purple,cartoonish,right
seniors,female,c,weather,green,complex,right
youth,female,b,weather,brown,elegant,up
adults,male,b,enviroment,yellow,cartoonish,left
adults,female,b,sales,pink,complex,down
children,female,c,education,pink,cartoonish,left
children,female,b,weather,yellow,elegant,up
youth,male,c,medical,red,elegant,down
children,female,b,engineer,black,simple,up
adults,male,c,mechanic,yellow,cartoonish,left
adults,male,b,education,blue,cartoonish,up
seniors,female,b,engineer,red,cartoonish,up
children,female,a,restaurants,green,simple,down
adults,male,a,enviroment,yellow,cartoonish,down
adults,female,b,sales,purple,elegant,up
children,female,a,police,yellow,cartoonish,down
adults,female,c,education,purple,complex,down
adults,female,b,enviroment,green,cartoonish,left
seniors,female,b,enviroment,green,simple,left
youth,female,b,sales,green,cartoonish,down
children,male,b,weather,pink,complex,right
children,female,b,weather,yellow,simple,down
seniors,male,a,medical,black,cartoonish,down
seniors,male,b,mechanic,yellow,simple,up
adults,male,c,restaurants,yellow,cartoonish,up
youth,male,b,education,purple,cartoonish,down
adults,female,a,weather,brown,simple,down
youth,male,c,medical,blue,elegant,right
seniors,female,c,mechanic,pink,elegant,down
seniors,female,c,police,black,elegant,right
seniors,female,a,mechanic,black,elegant,up
youth,female,c,education,green,complex,down
youth,female,a,enviroment,black,cartoonish,down
youth,male,b,medical,black,simple,right
youth,male,c,sales,purple,elegant,left
youth,male,b,mechanic,red,cartoonish,right
children,female,c,restaurants,green,cartoonish,left
children,male,a,mechanic,purple,elegant,down
seniors,female,b,police,black,elegant,down
adults,male,a,restaurants,black,cartoonish,right
youth,male,c,cinema,green,simple,down
children,male,c,police,red,simple,down
adults,male,a,computer science,black,cartoonish,left
seniors,female,b,mechanic,red,elegant,left
youth,female,b,computer science,pink,cartoonish,left
youth,male,b,enviroment,orange,simple,left
youth,female,c,weather,pink,complex,up
youth,male,b,sales,white,elegant,left
youth,male,c,enviroment,yellow,elegant,up
youth,female,c,sales,blue,cartoonish,down
adults,female,c,restaurants,red,cartoonish,up
children,male,a,education,yellow,complex,right
children,female,c,weather,brown,complex,down
children,female,b,cinema,green,simple,up
adults,male,c,cinema,orange,complex,down
seniors,male,c,mass communication,yellow,cartoonish,left
adults,female,c,weather,red,complex,up
seniors,female,b,police,orange,complex,right
children,male,c,weather,orange,complex,down
youth,female,c,weather,orange,elegant,down
seniors,female,c,restaurants,yellow,complex,up
children,female,c,police,brown,cartoonish,right
adults,female,c,sales,orange,cartoonish,down
adults,male,a,sales,blue,complex,up
seniors,male,a,education,purple,complex,left
children,male,a,enviroment,orange,simple,down
children,male,b,enviroment,yellow,cartoonish,right
adults,female,c,sales,purple,complex,up
youth,male,a,weather,yellow,elegant,down
seniors,male,a,police,blue,complex,right
children,male,b,police,orange,complex,left
seniors,female,c,medical,pink,cartoonish,up
youth,female,a,restaurants,green,simple,down
seniors,female,c,sales,green,elegant,right
youth,female,a,mechanic,purple,cartoonish,right
adults,male,c,police,white,elegant,left
seniors,male,a,restaurants,yellow,elegant,right
youth,female,c,engineer,brown,complex,left
adults,female,c,cinema,orange,simple,up
youth,female,a,police,pink,cartoonish,right
adults,male,a,education,pink,cartoonish,down
children,female,b,mechanic,purple,simple,down
children,female,c,weather,orange,elegant,right
adults,male,a,mechanic,green,complex,down
youth,male,b,mechanic,red,elegant,up
youth,female,b,cinema,green,simple,left
children,male,b,education,pink,simple,up
children,male,a,mechanic,white,complex,down
children,male,b,restaurants,red,simple,up
seniors,male,b,education,white,simple,right
adults,male,a,restaurants,brown,complex,left
children,female,a,engineer,purple,simple,down
adults,male,a,education,red,complex,up
adults,female,c,weather,purple,simple,left
children,female,c,enviroment,purple,cartoonish,left
children,female,a,restaurants,yellow,simple,left
seniors,male,a,computer science,yellow,elegant,left
adults,male,b,education,green,simple,up
seniors,male,c,engineer,yellow,complex,right
children,male,c,mass communication,brown,cartoonish,left
youth,female,b,enviroment,pink,elegant,down
seniors,female,b,weather,pink,simple,left
youth,male,a,enviroment,pink,cartoonish,down
children,female,a,cinema,yellow,elegant,left
youth,male,c,medical,orange,simple,right
children,female,a,enviroment,black,elegant,left
seniors,female,b,education,yellow,complex,right
youth,male,b,cinema,white,simple,left
children,male,a,education,brown,elegant,up
seniors,female,b,sales,brown,cartoonish,down
youth,male,c,computer science,pink,elegant,left
children,female,c,mass communication,green,complex,left
seniors,male,b,computer science,black,cartoonish,down
youth,female,c,mechanic,pink,elegant,right
youth,male,a,engineer,brown,elegant,up
children,female,c,education,brown,cartoonish,down
adults,male,a,enviroment,purple,complex,left
seniors,male,b,mass communication,brown,simple,down
seniors,male,b,police,pink,cartoonish,left
seniors,female,c,cinema,blue,elegant,up
children,female,a,restaurants,white,complex,down
seniors,male,b,restaurants,blue,simple,left
youth,female,c,engineer,yellow,simple,up
children,female,b,cinema,brown,complex,up
seniors,male,a,mechanic,purple,elegant,down
children,male,b,computer science,white,simple,up
youth,male,b,restaurants,green,elegant,left
adults,female,b,weather,blue,elegant,right
youth,female,c,police,orange,cartoonish,left
seniors,female,b,medical,orange,elegant,left
youth,female,a,weather,purple,elegant,right
seniors,male,b,computer science,green,elegant,left
adults,male,c,engineer,orange,simple,left
adults,female,c,medical,white,complex,left
youth,male,a,medical,yellow,cartoonish,down
children,male,a,sales,pink,elegant,up
children,female,b,education,yellow,elegant,left
seniors,male,b,cinema,black,elegant,up
adults,female,a,engineer,red,elegant,left
seniors,female,c,police,white,elegant,right
seniors,female,a,education,blue,elegant,left
adults,female,a,enviroment,blue,complex,right
youth,male,b,education,yellow,simple,down
seniors,male,b,education,green,cartoonish,left
youth,male,b,restaurants,brown,cartoonish,up
adults,female,b,restaurants,yellow,cartoonish,right
seniors,female,c,enviroment,pink,elegant,down
children,male,a,enviroment,pink,elegant,down
adults,female,a,computer science,green,complex,up
adults,male,b,engineer,brown,simple,left
seniors,female,c,computer science,pink,complex,left
youth,male,a,cinema,white,elegant,right
seniors,female,a,medical,green,cartoonish,down
youth,male,a,cinema,black,complex,right
adults,female,b,education,yellow,cartoonish,down
children,male,c,restaurants,red,cartoonish,left
seniors,male,a,medical,blue,complex,left
children,female,b,medical,pink,simple,left
adults,female,b,computer science,orange,complex,right
youth,male,c,medical,green,simple,up
children,male,c,education,purple,complex,down
children,male,a,restaurants,purple,complex,down
children,female,a,cinema,brown,complex,right
seniors,male,c,medical,black,cartoonish,left
seniors,female,c,sales,green,simple,left
adults,male,b,engineer,red,elegant,left
youth,male,a,police,black,elegant,down
youth,male,a,medical,pink,complex,down
youth,male,b,engineer,green,cartoonish,down
adults,male,a,police,brown,simple,right
youth,female,a,education,blue,elegant,right
adults,female,b,mechanic,white,elegant,up
adults,female,a,weather,blue,simple,right
seniors,male,c,education,red,complex,down
youth,male,c,medical,white,elegant,left
children,female,c,medical,green,elegant,left
children,male,a,mechanic,red,elegant,left
seniors,male,a,engineer,orange,simple,up
youth,male,c,medical,black,cartoonish,right
adults,female,a,sales,white,elegant,right
children,female,c,computer science,black,cartoonish,down
seniors,female,a,weather,pink,complex,right
adults,female,a,medical,yellow,elegant,right
youth,female,a,engineer,brown,simple,up
adults,female,b,computer science,blue,elegant,down
youth,male,c,medical,green,complex,up
seniors,male,a,mass communication,black,cartoonish,down
youth,female,b,mechanic,orange,elegant,right
adults,female,c,education,brown,simple,left
adults,female,c,engineer,brown,elegant,up
youth,female,a,weather,brown,elegant,right
youth,female,b,medical,blue,simple,up
seniors,male,c,enviroment,white,simple,down
adults,male,b,medical,black,complex,down
youth,male,c,education,yellow,simple,left
seniors,female,b,police,pink,elegant,right
youth,female,b,mass communication,white,simple,left
children,male,b,enviroment,white,simple,right
children,male,b,engineer,orange,cartoonish,left
youth,female,c,computer science,black,simple,down
youth,male,c,enviroment,green,complex,left
adults,male,a,mass communication,green,complex,right
youth,female,b,engineer,white,simple,right
seniors,male,a,mass communication,red,elegant,up
seniors,male,b,sales,blue,elegant,left
youth,female,c,mechanic,white,simple,down
youth,female,c,engineer,green,elegant,down
adults,female,c,medical,pink,elegant,left
youth,female,b,sales,yellow,elegant,right
adults,female,c,medical,green,cartoonish,left
seniors,male,a,medical,orange,cartoonish,down
seniors,male,b,weather,orange,elegant,left
adults,female,b,computer science,pink,cartoonish,down
seniors,female,a,engineer,white,simple,down
