Age,Gender,Social Class,Job,Color,Font,Position
teen,female,all,food and natural resources,blue,elegant,left
adult,both,middle,business and finance,orange,bold,right
young adult,male,upper,audio and video technology,green,bubbly,up
young adult,female,upper,engineering and math,black,classy,up
elder,both,lower,accessories and fashion,blue,thin,up
teen,male,all,games and entertainment,grey,elegant,up
young adult,both,all,games and entertainment,black,elegant,left
adult,male,all,software engineering,orange,bubbly,left
all,female,all,software engineering,green,bold,right
adult,male,all,law,pink,classy,down
adult,female,all,audio and video technology,pink,bubbly,up
elder,male,lower,audio and video technology,brown,thin,up
teen,both,lower,medicine,orange,modern,left
adult,male,upper,food and natural resources,grey,elegant,right
all,both,lower,medicine,yellow,thin,up
elder,both,middle,accessories and fashion,brown,thin,up
all,male,upper,agriculture,green,bold,up
teen,both,upper,transportation,purple,elegant,down
all,female,lower,games and entertainment,pink,thin,right
child,female,upper,marketing,yellow,bubbly,right
young adult,male,middle,communication,grey,thin,right
teen,both,middle,technology,purple,elegant,down
young adult,male,lower,arts,pink,bold,down
young adult,female,middle,food and natural resources,blue,modern,down
teen,female,all,accessories and fashion,purple,thin,left
all,female,lower,audio and video technology,black,bubbly,left
teen,both,all,business and finance,grey,modern,right
all,female,upper,science,orange,bold,left
young adult,female,middle,accessories and fashion,brown,modern,right
all,female,middle,games and entertainment,orange,thin,right
teen,male,all,transportation,grey,thin,right
adult,male,middle,software engineering,green,thin,up
young adult,female,upper,accessories and fashion,blue,elegant,up
teen,female,middle,animals,purple,thin,right
teen,both,middle,arts,orange,modern,left
young adult,male,lower,education and training,red,elegant,left
teen,both,upper,medicine,blue,modern,down
teen,male,upper,food and natural resources,blue,bubbly,right
elder,female,middle,engineering and math,black,bubbly,down
teen,female,middle,transportation,grey,thin,up
elder,female,upper,engineering and math,yellow,elegant,down
all,female,lower,government and public administration,yellow,elegant,up
child,both,lower,arts,grey,classy,down
child,female,middle,audio and video technology,black,bold,up
elder,both,upper,animals,yellow,modern,left
teen,male,middle,transportation,blue,modern,down
adult,both,lower,transportation,pink,elegant,down
young adult,female,lower,software engineering,brown,thin,left
teen,male,lower,transportation,black,bubbly,left
young adult,both,middle,agriculture,black,thin,up
young adult,male,upper,business and finance,green,classy,left
teen,both,upper,agriculture,grey,thin,down
teen,female,all,technology,yellow,bubbly,right
all,female,upper,accessories and fashion,blue,elegant,left
all,both,upper,arts,green,elegant,left
elder,both,middle,technology,pink,bubbly,down
young adult,female,upper,arts,blue,bubbly,right
child,both,lower,architecture and construction,grey,thin,down
all,both,middle,business and finance,pink,elegant,up
elder,male,lower,audio and video technology,green,modern,up
elder,male,upper,law,pink,elegant,down
child,male,lower,agriculture,red,modern,right
young adult,both,lower,games and entertainment,brown,classy,down
teen,female,all,food and natural resources,green,thin,left
all,both,middle,government and public administration,red,thin,left
adult,both,lower,games and entertainment,yellow,bubbly,down
elder,female,middle,transportation,yellow,bold,left
young adult,male,upper,food and natural resources,orange,modern,right
all,female,upper,games and entertainment,pink,elegant,up
young adult,both,all,games and entertainment,blue,classy,left
all,female,middle,public safety and security,purple,classy,right
young adult,both,lower,business and finance,yellow,bold,down
adult,both,all,agriculture,pink,elegant,right
child,male,upper,communication,purple,bubbly,up
young adult,male,all,public safety and security,green,bubbly,up
child,female,middle,technology,orange,bubbly,down
all,both,lower,communication,grey,bold,down
elder,male,middle,food and natural resources,green,modern,down
elder,female,lower,science,orange,thin,up
teen,female,upper,architecture and construction,red,bold,up
young adult,female,lower,food and natural resources,brown,elegant,left
teen,both,lower,communication,yellow,classy,down
teen,female,all,medicine,red,classy,down
teen,female,all,arts,black,thin,up
teen,female,upper,science,yellow,bubbly,left
all,both,middle,animals,grey,modern,down
adult,male,middle,arts,red,thin,right
elder,female,lower,games and entertainment,blue,bold,left
child,female,lower,audio and video technology,yellow,bubbly,right
teen,female,upper,transportation,red,bold,left
young adult,both,all,audio and video technology,grey,modern,right
young adult,male,all,communication,purple,modern,right
young adult,female,lower,software engineering,blue,bubbly,up
child,female,middle,food and natural resources,blue,bold,up
elder,female,upper,technology,grey,classy,left
teen,male,upper,food and natural resources,orange,bold,down
elder,male,all,architecture and construction,brown,elegant,up
teen,male,all,public safety and security,grey,classy,left
all,female,lower,games and entertainment,blue,thin,right
elder,female,all,education and training,orange,modern,left
elder,male,lower,agriculture,red,bold,up
child,both,upper,public safety and security,black,modern,down
child,female,all,government and public administration,black,bold,right
teen,female,middle,software engineering,orange,classy,right
young adult,both,all,animals,yellow,bubbly,down
all,both,lower,communication,pink,thin,right
elder,both,middle,law,purple,thin,left
child,both,upper,marketing,grey,bubbly,down
young adult,both,upper,marketing,pink,modern,right
all,male,lower,technology,orange,elegant,up
adult,male,middle,marketing,grey,bold,right
child,male,all,architecture and construction,red,modern,up
child,female,upper,audio and video technology,orange,classy,down
child,both,lower,food and natural resources,blue,classy,right
all,both,lower,marketing,black,thin,left
young adult,male,middle,arts,grey,bubbly,up
child,female,lower,architecture and construction,blue,classy,left
elder,both,all,games and entertainment,brown,thin,left
teen,both,middle,education and training,brown,bold,left
child,female,all,law,grey,bubbly,left
all,both,lower,law,grey,classy,down
adult,both,middle,education and training,grey,bubbly,up
teen,both,middle,communication,grey,bubbly,left
child,both,all,architecture and construction,pink,modern,right
teen,both,middle,accessories and fashion,pink,elegant,up
elder,male,middle,public safety and security,green,bold,right
elder,male,upper,architecture and construction,brown,bold,up
teen,both,upper,games and entertainment,pink,bubbly,left
teen,both,upper,games and entertainment,orange,elegant,left
teen,male,lower,public safety and security,yellow,modern,up
child,male,all,audio and video technology,red,modern,up
teen,female,lower,food and natural resources,yellow,modern,down
child,both,middle,government and public administration,yellow,bold,up
child,female,middle,science,grey,classy,down
all,female,all,communication,green,bubbly,right
young adult,female,lower,science,black,bubbly,left
all,female,all,technology,purple,elegant,right
teen,male,middle,technology,orange,bold,left
child,male,middle,games and entertainment,orange,bubbly,down
adult,both,middle,law,blue,modern,up
child,both,all,science,pink,elegant,up
child,both,middle,software engineering,blue,bubbly,left
young adult,male,middle,audio and video technology,green,classy,right
adult,female,lower,government and public administration,yellow,classy,up
young adult,female,lower,education and training,green,bubbly,left
adult,female,middle,technology,pink,modern,up
teen,male,middle,software engineering,pink,classy,right
all,both,lower,transportation,orange,classy,right
child,both,middle,medicine,brown,modern,up
all,both,upper,arts,green,bold,up
elder,both,upper,agriculture,yellow,modern,up
young adult,female,middle,education and training,green,modern,left
teen,both,upper,food and natural resources,purple,thin,down
teen,male,lower,agriculture,red,bold,left
adult,female,upper,games and entertainment,green,thin,right
child,female,lower,communication,grey,bubbly,left
teen,male,upper,software engineering,pink,bold,right
child,male,all,engineering and math,purple,thin,down
young adult,both,upper,government and public administration,orange,classy,right
young adult,female,all,business and finance,yellow,classy,left
elder,male,lower,games and entertainment,red,elegant,left
child,male,middle,marketing,grey,bold,up
young adult,male,middle,government and public administration,blue,modern,right
teen,male,lower,transportation,purple,bold,left
adult,both,middle,games and entertainment,purple,modern,up
all,male,middle,business and finance,pink,bubbly,left
child,both,middle,communication,red,elegant,left
child,male,all,marketing,red,modern,right
adult,female,lower,food and natural resources,black,modern,up
young adult,both,upper,public safety and security,grey,elegant,left
young adult,both,middle,science,purple,modern,down
elder,female,upper,education and training,red,modern,up
teen,female,middle,science,grey,classy,right
adult,both,upper,medicine,black,elegant,down
child,male,lower,software engineering,black,bubbly,up
elder,female,middle,science,red,modern,down
teen,female,all,arts,orange,classy,down
all,male,middle,food and natural resources,pink,bubbly,right
adult,male,middle,medicine,green,classy,left
adult,male,all,communication,purple,elegant,up
child,both,middle,communication,grey,classy,up
child,female,lower,arts,red,classy,up
elder,both,lower,architecture and construction,blue,bubbly,up
child,female,upper,business and finance,blue,thin,left
young adult,male,lower,law,red,bubbly,right
all,both,middle,agriculture,green,modern,right
young adult,female,all,accessories and fashion,pink,elegant,right
young adult,both,middle,arts,red,thin,left
young adult,male,upper,software engineering,brown,elegant,left
young adult,both,lower,accessories and fashion,purple,classy,left
child,female,upper,government and public administration,yellow,modern,right
adult,male,lower,engineering and math,grey,thin,right
all,male,middle,marketing,purple,thin,left
all,female,upper,software engineering,orange,bubbly,down
adult,male,upper,arts,yellow,bold,down
adult,both,lower,arts,green,classy,right
elder,male,upper,food and natural resources,black,elegant,up
young adult,both,all,animals,brown,bold,down
all,female,upper,marketing,brown,thin,left
elder,male,upper,architecture and construction,purple,thin,up
all,male,lower,education and training,grey,classy,left
young adult,male,all,agriculture,black,bubbly,up
child,female,lower,agriculture,red,classy,up
child,male,middle,technology,purple,thin,left
elder,both,upper,accessories and fashion,green,modern,right
elder,both,middle,education and training,orange,modern,down
all,female,upper,education and training,brown,modern,left
young adult,both,upper,communication,blue,bold,left
young adult,female,middle,games and entertainment,blue,thin,left
child,female,middle,education and training,orange,bubbly,down
all,female,upper,architecture and construction,pink,modern,up
child,both,middle,education and training,green,elegant,down
child,female,lower,marketing,orange,modern,up
young adult,male,lower,law,pink,modern,right
elder,male,middle,science,purple,classy,up
young adult,both,upper,medicine,black,bubbly,right
elder,male,middle,engineering and math,green,thin,up
elder,female,lower,science,brown,bold,right
young adult,female,all,technology,orange,modern,up
child,male,middle,animals,purple,bubbly,down
all,male,all,accessories and fashion,purple,bubbly,left
young adult,male,all,government and public administration,purple,classy,right
young adult,male,lower,public safety and security,red,elegant,right
all,male,upper,marketing,orange,thin,down
child,male,lower,communication,yellow,bold,right
young adult,male,middle,engineering and math,orange,thin,left
young adult,female,all,software engineering,yellow,elegant,down
young adult,female,upper,business and finance,grey,bubbly,left
young adult,both,upper,marketing,yellow,modern,down
all,female,upper,marketing,red,bubbly,left
teen,female,all,law,orange,bold,left
adult,both,middle,transportation,purple,bubbly,up
all,female,upper,arts,black,bubbly,up
young adult,male,all,public safety and security,purple,bold,left
young adult,male,all,software engineering,yellow,bold,left
all,both,middle,software engineering,black,elegant,down
adult,female,upper,technology,purple,classy,up
adult,male,all,science,green,classy,up
elder,male,upper,medicine,orange,elegant,up
child,male,all,medicine,grey,thin,right
all,male,lower,engineering and math,orange,classy,down
teen,female,lower,animals,brown,elegant,up
young adult,both,all,communication,purple,thin,left
elder,male,all,science,orange,bubbly,left
teen,both,upper,marketing,red,bold,down
teen,male,middle,communication,brown,modern,right
all,male,all,agriculture,black,modern,down
adult,female,middle,software engineering,pink,classy,up
teen,female,middle,science,yellow,modern,down
young adult,both,lower,transportation,yellow,modern,down
adult,female,lower,agriculture,grey,bold,right
child,male,middle,agriculture,blue,bold,right
young adult,both,all,animals,purple,bubbly,right
all,male,middle,games and entertainment,brown,bubbly,up
teen,male,lower,law,black,classy,right
adult,female,middle,audio and video technology,grey,bold,right
elder,female,lower,public safety and security,red,modern,left
all,female,lower,technology,orange,elegant,right
adult,both,all,science,grey,thin,right
elder,male,lower,games and entertainment,grey,thin,left
adult,female,upper,business and finance,blue,thin,up
child,male,upper,transportation,green,modern,down
young adult,female,lower,software engineering,pink,thin,left
elder,female,lower,audio and video technology,black,bubbly,up
adult,both,upper,agriculture,grey,modern,up
young adult,male,lower,software engineering,purple,bubbly,right
child,female,upper,agriculture,orange,modern,up
adult,both,lower,agriculture,yellow,modern,down
all,female,all,software engineering,blue,elegant,right
teen,female,upper,law,green,elegant,down
teen,both,all,marketing,pink,classy,left
adult,both,middle,education and training,blue,elegant,right
elder,female,upper,education and training,pink,thin,up
young adult,female,upper,education and training,green,bold,up
teen,male,all,education and training,purple,modern,down
elder,both,all,games and entertainment,pink,bold,down
adult,male,middle,business and finance,grey,bold,up
all,female,middle,accessories and fashion,yellow,bubbly,down
young adult,both,middle,transportation,red,bubbly,up
adult,female,lower,medicine,purple,bold,down
young adult,male,upper,transportation,pink,bubbly,left
all,male,lower,medicine,orange,modern,right
teen,male,lower,public safety and security,yellow,elegant,right
child,both,upper,food and natural resources,green,bubbly,right
elder,both,all,law,red,modern,up
young adult,male,upper,software engineering,pink,elegant,down
young adult,both,lower,medicine,orange,bold,left
child,both,upper,government and public administration,orange,classy,up
young adult,both,middle,food and natural resources,yellow,elegant,left
teen,both,all,law,black,modern,up
all,both,all,transportation,brown,modern,up
elder,male,all,business and finance,orange,thin,down
adult,both,upper,marketing,blue,classy,right
elder,male,lower,agriculture,green,bold,up
all,male,middle,food and natural resources,blue,classy,right
adult,both,upper,agriculture,red,bubbly,left
elder,male,lower,marketing,green,elegant,left
all,male,all,engineering and math,purple,modern,right
all,female,lower,education and training,pink,classy,right
all,female,all,law,orange,bold,right
elder,male,lower,architecture and construction,black,bubbly,down
teen,both,upper,business and finance,pink,bold,left
elder,male,lower,audio and video technology,pink,classy,up
young adult,female,middle,engineering and math,blue,classy,down
young adult,male,lower,audio and video technology,grey,classy,left
child,both,all,marketing,pink,thin,left
all,both,all,marketing,orange,classy,up
elder,female,upper,accessories and fashion,pink,elegant,right
child,male,middle,arts,black,modern,right
all,male,middle,medicine,grey,bold,up
all,both,lower,architecture and construction,black,bubbly,up
young adult,both,lower,agriculture,orange,modern,left
all,female,all,business and finance,black,bold,right
teen,female,lower,food and natural resources,orange,elegant,up
all,male,all,arts,yellow,classy,left
child,male,all,arts,purple,bold,right
all,both,upper,communication,green,bubbly,down
all,female,lower,education and training,orange,bubbly,down
all,female,upper,engineering and math,orange,elegant,up
teen,female,lower,games and entertainment,yellow,bubbly,down
all,female,middle,agriculture,black,elegant,down
adult,male,lower,food and natural resources,grey,bubbly,left
young adult,male,all,animals,black,classy,up
child,female,middle,transportation,green,classy,down
adult,female,all,science,red,elegant,left
child,male,upper,architecture and construction,blue,bubbly,left
adult,female,middle,food and natural resources,pink,bubbly,down
adult,both,upper,accessories and fashion,pink,bubbly,right
